Eisenbergiella tayi
Elizabethkingia anophelis
Elizabethkingia meningoseptica
Elizabethkingia miricola
Empedobacter brevis
Empedobacter falsenii
Ensifer medicae
Enterobacter aerogenes
Enterobacter amnigenus
Enterobacter asburiae
Enterobacter cancerogenus
Enterobacter cloacae
Enterobacter hormaechei
Enterobacter kobei
Enterobacter ludwigii
Enterobacter sakazakii
Enterococcus avium
Enterococcus caccae
Enterococcus casseliflavus
Enterococcus cecorum
Enterococcus durans
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterococcus gilvus
Enterococcus hawaiiensis
Enterococcus hirae
Enterococcus italicus
Enterococcus mundtii
Enterococcus pallens
Enterococcus pseudoavium
Enterococcus raffinosus
Enterococcus thailandicus
Erwinia persicina
Erysipelatoclostridium ramosum
Erysipelothrix rhusiopathiae
Erythromicrobium ramosum
Escherichia albertii
Escherichia coli
Escherichia fergusonii
Escherichia vulneris
Eubacterium biforme
Eubacterium brachy
Eubacterium callanderi
Eubacterium combesii
Eubacterium contortum
Eubacterium cylindroides
Eubacterium hallii
Eubacterium infirmum
Eubacterium limosum
Eubacterium minutum
Eubacterium multiforme
Eubacterium nodatum
Eubacterium plautii
Eubacterium rectale
Eubacterium saburreum
Eubacterium saphenum
Eubacterium sulci
Eubacterium tenue
Eubacterium tortuosum
Eubacterium yurii
Exiguobacterium acetylicum
Exiguobacterium aurantiacum
Facklamia hominis
Facklamia ignava
Facklamia languida
Facklamia sourekii
Faecalibacterium prausnitzii
Fastidiosipila sanguinis
Filifactor alocis
Finegoldia magna
Flavobacterium ceti
Flavobacterium lindanitolerans
Fluoribacter bozemanae
Fluoribacter dumoffii
Fluoribacter gormanii
Francisella hispaniensis
Francisella philomiragia
Francisella tularensis
Fusobacterium gonidiaformans
Fusobacterium mortiferum
Fusobacterium naviforme
Fusobacterium necrophorum
Fusobacterium nucleatum
Fusobacterium periodonticum
Fusobacterium russii
Fusobacterium ulcerans
Fusobacterium varium
Gallibacterium anatis
Gardnerella vaginalis
Gemella asaccharolytica
Gemella bergeri
Gemella haemolysans
Gemella morbillorum
Gemella parahaemolysans
Gemella sanguinis
Gemella taiwanensis
Gemycircularvirus HV-GcV2
Globicatella sanguinis
Gordonia aichiensis
Gordonia araii
Gordonia bronchialis
Gordonia effusa
Gordonia iterans
Gordonia otitidis
Gordonia polyisoprenivorans
Gordonia rubripertincta
Gordonia sputi
Gordonia terrae
Gordonibacter pamelaeae
Granulicatella adiacens
Granulicatella elegans
Grimontia hollisae
Gryllotalpicola ginsengisoli
Guggenheimella bovis
Haematobacter massiliensis
Haematobacter missouriensis
Haemophilus aegyptius
Haemophilus ducreyi
Haemophilus haemolyticus
Haemophilus influenzae
Haemophilus parahaemolyticus
Haemophilus parainfluenzae
Haemophilus paraphrohaemolyticus
Haemophilus pittmaniae
Haemophilus sputorum
Halomonas hamiltonii
Halomonas johnsoniae
Halomonas stevensii
Halomonas venusta
Helcococcus kunzii
Helcococcus sueciensis
Helicobacter bilis
Helicobacter bizzozeronii
Helicobacter canadensis
Helicobacter canis
Helicobacter cinaedi
Helicobacter felis
Helicobacter fennelliae
Helicobacter heilmannii
Helicobacter hepaticus
Helicobacter pullorum
Helicobacter pylori
Helicobacter salomonis
Helicobacter suis
Hepatitis C
Herminiimonas saxobsidens
Human adenovirus
Human associated
Human astrovirus
Human betaherpesvirus
Human herpesvirus
Human papillomavirus
Human parechovirus
Human polyomavirus
Ignatzschineria
Ignatzschineria indica
Inquilinus limosus
Johnsonella ignava
Kerstersia gyiorum
Kerstersia similis
Kingella denitrificans
Kingella kingae
Kingella oralis
Klebsiella granulomatis
Klebsiella oxytoca
Klebsiella pneumoniae
Klebsiella quasipneumoniae
Klebsiella variicola
Kocuria kristinae
Kocuria marina
Kocuria polaris
Kocuria rhizophila
Kocuria rosea
Kocuria salsicia
Kocuria varians
Lachnoanaerobaculum saburreum
Lachnoanaerobaculum umeaense
Lactobacillus
Lactobacillus acidipiscis
Lactobacillus acidophilus
Lactobacillus brevis
Lactobacillus casei
Lactobacillus catenaformis
Lactobacillus coleohominis
Lactobacillus crispatus
Lactobacillus delbrueckii
Lactobacillus fermentum
Lactobacillus gasseri
Lactobacillus gastricus
Lactobacillus helveticus
Lactobacillus iners
Lactobacillus jensenii
Lactobacillus johnsonii
Lactobacillus kalixensis
Lactobacillus mucosae
Lactobacillus oris
Lactobacillus parabuchneri
Lactobacillus paracasei
Lactobacillus plantarum
Lactobacillus reuteri
Lactobacillus rhamnosus
Lactobacillus ruminis
Lactobacillus sakei
Lactobacillus salivarius
Lactobacillus ultunensis
Lactobacillus vaginalis
Lactobacillus zeae
Lactococcus garvieae
Lactococcus lactis
Laribacter hongkongensis
Leclercia adecarboxylata
Legionella anisa
Legionella birminghamensis
Legionella cardiaca
Legionella cherrii
Legionella cincinnatiensis
Legionella dumoffii
Legionella feeleii
Legionella hackeliae
Legionella jordanis
Legionella lansingensis
Legionella londiniensis
Legionella longbeachae
Legionella micdadei
Legionella nagasakiensis
Legionella oakridgensis
Legionella parisiensis
Legionella pneumophila
Legionella rubrilucens
Legionella sainthelensi
Legionella tucsonensis
Legionella wadsworthii
Legionella waltersii
Leifsonia aquatica
Lelliottia amnigena
Leptospira borgpetersenii
Leptospira broomii
Leptospira fainei
Leptospira inadai
Leptospira interrogans
Leptospira kirschneri
Leptospira licerasiae
Leptospira mayottensis
Leptospira meyeri
Leptospira noguchii
Leptospira santarosai
Leptospira weilii
Leptospira wolffii
Leptotrichia buccalis
Leptotrichia goodfellowii
Leptotrichia hofstadii
Leptotrichia shahii
Leptotrichia trevisanii
Leptotrichia wadei
Leuconostoc mesenteroides
Leuconostoc pseudomesenteroides
Listeria grayi
Listeria innocua
Listeria ivanovii
Listeria monocytogenes
Listeria seeligeri
Listeria welshimeri
Luteibacter rhizovicinus
Lysinibacillus sphaericus
Malikia granosa
Mammalian orthorubulavirus
Mannheimia glucosida
Mannheimia haemolytica
Massilia oculi
Massilia timonae
Megamonas hypermegale
Megasphaera
Megasphaera elsdenii
Megasphaera micronuciformis
Merkel cell
Mesorhizobium loti
Methylobacterium mesophilicum
Methylobacterium radiotolerans
Methylobacterium rhodesianum
Methylobacterium zatmanii
Microbacterium aurum
Microbacterium binotii
Microbacterium esteraromaticum
Microbacterium flavescens
Microbacterium foliorum
Microbacterium hydrocarbonoxydans
Microbacterium lacticum
Microbacterium oleivorans
Microbacterium oxydans
Microbacterium paraoxydans
Microbacterium phyllosphaerae
Microbacterium resistens
Microbacterium schleiferi
Microbacterium testaceum
Microbacterium trichothecenolyticum
Micrococcus luteus
Micromonas micros
Microsporum gypseum
Microvirgula aerodenitrificans
Mobiluncus curtisii
Mobiluncus mulieris
Mogibacterium diversum
Mogibacterium neglectum
Mogibacterium pumilum
Mogibacterium timidum
Mogibacterium vescum
Moraxella atlantae
Moraxella canis
Moraxella catarrhalis
Moraxella lacunata
Moraxella lincolnii
Moraxella nonliquefaciens
Morganella morganii
Mycobacterium abscessus
Mycobacterium africanum
